sofifa_id,player_url,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,club_logo_url,club_flag_url,nation_logo_url,nation_flag_url
208421,https://sofifa.com/player/208421/saul-niguez-esclapez/220002,Sa?l,Sa?l ??guez Escl?pez,"CM, LM",82,85,39500000,68000,26,1994-11-21,184,75,5,Chelsea,English Premier League,1,SUB,17,Atl?tico de Madrid,,2022,45,Spain,,,,Left,4,3,3,Medium/Medium,Lean (170-185),Yes,,,"Finesse Shot, Long Shot Taker (AI)",71,78,78,79,78,79,69,76,83,84,76,80,73,60,82,82,69,72,73,80,68,82,80,86,77,80,76,79,80,81,68,81,77,78,77,7,13,12,10,9,,79+3,79+3,79+3,78,80,80,80,78,80+3,80+3,80+3,79+3,81+3,81+3,81+3,79+3,78+3,80+3,80+3,80+3,78+3,78+3,79+3,79+3,79+3,78+3,18+3,https://cdn.sofifa.net/players/208/421/22_120.png,https://cdn.sofifa.net/teams/5/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/es.png
208461,https://sofifa.com/player/208461/marten-de-roon/220002,M. de Roon,Marten Elco de Roon,"CDM, CM",82,82,25500000,59000,30,1991-03-29,185,76,39,Atalanta,Italian Serie A,1,RCM,15,,2017-08-11,2024,34,Netherlands,105035,SUB,15,Right,3,3,3,Medium/High,Normal (185+),Yes,43400000,,Solid Player,66,68,71,73,82,83,68,60,75,78,64,71,61,48,75,76,64,68,61,82,73,76,80,92,77,77,85,84,67,69,80,81,82,84,81,14,15,7,12,12,,71+3,71+3,71+3,71,72,72,72,71,72+3,72+3,72+3,72+3,76+3,76+3,76+3,72+3,79+3,81+1,81+1,81+1,79+3,79+3,81+1,81+1,81+1,79+3,21+3,https://cdn.sofifa.net/players/208/461/22_120.png,https://cdn.sofifa.net/teams/39/60.png,https://cdn.sofifa.net/flags/it.png,https://cdn.sofifa.net/teams/105035/60.png,https://cdn.sofifa.net/flags/nl.png
209981,https://sofifa.com/player/209981/yassine-bounou/220002,Y. Bounou,Yassine Bounou,GK,82,82,20500000,29000,30,1991-04-05,192,78,481,Sevilla FC,Spain Primera Division,1,GK,13,,2020-09-04,2024,129,Morocco,,,,Left,2,1,1,Medium/Medium,Lean (185+),Yes,43100000,,"GK Long Throw, Comes For Crosses, Saves with Feet",,,,,,,15,14,14,39,13,20,12,19,44,12,37,34,47,80,29,57,48,43,69,19,25,12,10,60,24,57,20,18,15,82,79,76,81,84,36,29+2,29+2,29+2,28,30,30,30,28,33+2,33+2,33+2,31+2,35+2,35+2,35+2,31+2,28+2,32+2,32+2,32+2,28+2,27+2,28+2,28+2,28+2,27+2,81+1,https://cdn.sofifa.net/players/209/981/22_120.png,https://cdn.sofifa.net/teams/481/60.png,https://cdn.sofifa.net/flags/es.png,,https://cdn.sofifa.net/flags/ma.png
210035,https://sofifa.com/player/210035/alejandro-grimaldo-garcia/220002,Grimaldo,Alejandro Grimaldo Garc?a,"LB, LM, LWB",82,85,37000000,18000,25,1995-09-20,171,69,234,SL Benfica,Portuguese Liga ZON SAGRES,1,LWB,3,,2016-01-04,2023,45,Spain,,,,Left,2,3,3,High/Medium,Normal (170-185),Yes,76800000,,"Injury Prone, Long Passer (AI), Speed Dribbler (AI)",87,65,81,83,74,71,82,52,66,83,61,83,85,81,79,83,86,87,84,83,86,79,64,90,63,79,69,79,77,78,54,83,71,76,74,7,13,10,7,13,,73+3,73+3,73+3,79,78,78,78,79,80+3,80+3,80+3,81+3,81+3,81+3,81+3,81+3,81+3,78+3,78+3,78+3,81+3,80+3,74+3,74+3,74+3,80+3,18+3,https://cdn.sofifa.net/players/210/035/22_120.png,https://cdn.sofifa.net/teams/234/60.png,https://cdn.sofifa.net/flags/pt.png,,https://cdn.sofifa.net/flags/es.png
210413,https://sofifa.com/player/210413/alessio-romagnoli/220002,A. Romagnoli,Alessio Romagnoli,CB,82,83,31500000,49000,26,1995-01-12,185,75,47,AC Milan,Italian Serie A,1,SUB,13,,2015-08-11,2022,27,Italy,,,,Left,3,2,2,Medium/Medium,Unique,Yes,55900000,#Tactician?,Leadership,68,40,56,68,85,78,36,30,78,75,28,65,36,24,70,75,66,69,55,80,53,64,79,70,79,46,84,86,31,45,34,76,87,86,82,9,14,12,8,9,,58+2,58+2,58+2,57,59,59,59,57,60+2,60+2,60+2,60+2,66+2,66+2,66+2,60+2,73+2,78+2,78+2,78+2,73+2,75+2,82+1,82+1,82+1,75+2,18+2,https://cdn.sofifa.net/players/210/413/22_120.png,https://cdn.sofifa.net/teams/47/60.png,https://cdn.sofifa.net/flags/it.png,,https://cdn.sofifa.net/flags/it.png
210935,https://sofifa.com/player/210935/domenico-berardi/220002,D. Berardi,Domenico Berardi,"RW, RM",82,82,33500000,51000,26,1994-08-01,183,72,111974,U.S. Sassuolo Calcio,Italian Serie A,1,RM,25,,2012-07-01,2024,27,Italy,1343,SUB,11,Left,3,4,2,Medium/Medium,Lean (170-185),No,57000000,#Acrobat,"Flair, Long Shot Taker (AI), Team Player, Technical Dribbler (AI)",79,80,81,85,36,69,77,80,62,85,78,83,78,75,79,88,81,77,90,77,82,83,65,70,63,80,85,26,79,81,76,78,42,30,30,5,6,5,5,6,,78+2,78+2,78+2,82,81,81,81,82,82,82,82,81+1,76+2,76+2,76+2,81+1,61+2,61+2,61+2,61+2,61+2,57+2,51+2,51+2,51+2,57+2,13+2,https://cdn.sofifa.net/players/210/935/22_120.png,https://cdn.sofifa.net/teams/111974/60.png,https://cdn.sofifa.net/flags/it.png,https://cdn.sofifa.net/teams/1343/60.png,https://cdn.sofifa.net/flags/it.png
211256,https://sofifa.com/player/211256/nicolas-tagliafico/220002,N. Tagliafico,Nicol?s Alejandro Tagliafico,LB,82,82,27500000,24000,28,1992-08-31,172,65,245,Ajax,Holland Eredivisie,1,SUB,31,,2018-01-05,2023,52,Argentina,1369,SUB,3,Left,2,3,3,High/High,Normal (170-185),Yes,38500000,#Engine,"Solid Player, Dives Into Tackles (AI), Power Header, Team Player",80,55,73,76,81,81,76,55,82,77,44,73,66,40,75,77,79,81,77,81,81,65,90,89,75,46,84,80,69,69,46,77,81,80,80,13,9,10,15,16,,70+3,70+3,70+3,72,71,71,71,72,72+3,72+3,72+3,75+3,75+3,75+3,75+3,75+3,80+2,79+3,79+3,79+3,80+2,80+2,80+2,80+2,80+2,80+2,21+3,https://cdn.sofifa.net/players/211/256/22_120.png,https://cdn.sofifa.net/teams/245/60.png,https://cdn.sofifa.net/flags/nl.png,https://cdn.sofifa.net/teams/1369/60.png,https://cdn.sofifa.net/flags/ar.png
211515,https://sofifa.com/player/211515/pierluigi-gollini/220002,P. Gollini,Pierluigi Gollini,GK,82,87,35000000,48000,26,1995-03-18,194,94,18,Tottenham Hotspur,English Premier League,1,SUB,22,Atalanta,,2022,27,Italy,,,,Right,2,1,2,Medium/Medium,Normal (185+),No,,,"Rushes Out Of Goal, Comes For Crosses",,,,,,,17,14,19,31,20,18,13,15,25,24,46,48,56,77,52,57,52,40,68,17,19,18,12,30,21,63,20,12,19,82,81,76,83,82,47,32+2,32+2,32+2,29,30,30,30,29,29+2,29+2,29+2,30+2,29+2,29+2,29+2,30+2,29+2,29+2,29+2,29+2,29+2,29+2,28+2,28+2,28+2,29+2,81+2,https://cdn.sofifa.net/players/211/515/22_120.png,https://cdn.sofifa.net/teams/18/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/it.png
212190,https://sofifa.com/player/212190/niklas-sule/220002,N. S?le,Niklas S?le,"CB, RB",82,87,40500000,78000,25,1995-09-03,195,99,21,FC Bayern M?nchen,German 1. Bundesliga,1,LCB,4,,2017-07-01,2022,21,Germany,1337,RCB,15,Right,3,2,3,Medium/Medium,Stocky (185+),Yes,69900000,"#Aerial Threat, #Strength",Injury Prone,65,42,59,51,83,81,34,22,84,78,33,43,28,30,69,62,48,79,33,79,32,77,39,63,93,62,85,80,26,57,32,75,81,86,82,15,7,14,7,15,,56+3,56+3,56+3,51,54,54,54,51,56+3,56+3,56+3,54+3,64+3,64+3,64+3,54+3,69+3,76+3,76+3,76+3,69+3,73+3,81+3,81+3,81+3,73+3,19+3,https://cdn.sofifa.net/players/212/190/22_120.png,https://cdn.sofifa.net/teams/21/60.png,https://cdn.sofifa.net/flags/de.png,https://cdn.sofifa.net/teams/1337/60.png,https://cdn.sofifa.net/flags/de.png
212462,https://sofifa.com/player/212462/alex-nicolao-telles/220002,Alex Telles,Alex Nicolao Telles,LB,82,82,27500000,130000,28,1992-12-15,181,71,11,Manchester United,English Premier League,1,SUB,27,,2020-10-05,2024,54,Brazil,,,,Left,2,3,3,High/Medium,Unique,Yes,50900000,#Crosser,"Solid Player, Long Shot Taker (AI), Speed Dribbler (AI), Outside Foot Shot, Team Player",83,73,82,78,77,73,86,63,68,82,62,77,87,79,81,80,81,84,75,81,70,87,81,85,65,83,76,79,75,78,81,77,77,78,76,13,8,12,11,14,,75+3,75+3,75+3,78,78,78,78,78,78+3,78+3,78+3,79+3,80+2,80+2,80+2,79+3,81+1,79+3,79+3,79+3,81+1,80+2,76+3,76+3,76+3,80+2,19+3,https://cdn.sofifa.net/players/212/462/22_120.png,https://cdn.sofifa.net/teams/11/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/br.png
212523,https://sofifa.com/player/212523/anderson-souza-conceicao/220002,Anderson Talisca,Anderson Souza Concei??o,"CF, ST, CAM",82,83,35500000,61000,27,1994-02-01,190,80,112139,Al Nassr,Saudi Abdul L. Jameel League,1,CAM,94,,2021-06-26,2024,54,Brazil,,,,Left,4,4,2,High/Low,Unique,No,63000000,#FK Specialist,"Finesse Shot, Flair, Long Passer (AI), Long Shot Taker (AI), Playmaker (AI), Outside Foot Shot",80,83,81,83,52,75,75,81,77,84,76,83,86,87,82,84,84,76,87,78,75,84,65,82,75,87,67,52,86,79,75,77,45,55,42,13,11,13,12,10,,82+1,82+1,82+1,82,82,82,82,82,83,83,83,81+2,80+2,80+2,80+2,81+2,68+2,68+2,68+2,68+2,68+2,66+2,61+2,61+2,61+2,66+2,19+2,https://cdn.sofifa.net/players/212/523/22_120.png,https://cdn.sofifa.net/teams/112139/60.png,https://cdn.sofifa.net/flags/sa.png,,https://cdn.sofifa.net/flags/br.png
212616,https://sofifa.com/player/212616/rodrigo-javier-de-paul/220002,R. De Paul,Rodrigo Javier De Paul,"CM, CF",82,83,35000000,68000,27,1994-05-24,180,70,240,Atl?tico de Madrid,Spain Primera Division,1,SUB,5,,2021-07-12,2026,52,Argentina,1369,RCM,7,Right,3,4,1,High/Medium,Normal (170-185),No,74400000,,"Finesse Shot, Long Passer (AI), Long Shot Taker (AI), Playmaker (AI), Technical Dribbler (AI)",78,76,80,82,71,79,69,76,50,85,70,81,84,73,81,85,81,76,78,81,79,80,67,86,81,78,69,74,78,80,65,80,68,79,69,13,12,10,7,14,,77+2,77+2,77+2,80,80,80,80,80,81+2,81+2,81+2,80+2,82+1,82+1,82+1,80+2,77+2,79+2,79+2,79+2,77+2,76+2,73+2,73+2,73+2,76+2,19+2,https://cdn.sofifa.net/players/212/616/22_120.png,https://cdn.sofifa.net/teams/240/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/teams/1369/60.png,https://cdn.sofifa.net/flags/ar.png
216547,https://sofifa.com/player/216547/rafael-a-ferreira-silva/220002,Rafa,Rafael Alexandre Fernandes Ferreira da Silva,"RM, LM",82,82,30500000,22000,28,1993-05-17,170,63,234,SL Benfica,Portuguese Liga ZON SAGRES,1,RM,27,,2016-08-31,2024,38,Portugal,1354,RW,15,Right,3,4,2,High/Medium,Lean (170-),Yes,61000000,"#Speedster, #Dribbler, #Acrobat","Speed Dribbler (AI), Outside Foot Shot",94,73,74,86,50,52,78,74,46,77,68,86,78,56,62,85,93,94,90,83,89,75,64,77,40,71,47,58,80,78,59,81,52,47,39,9,11,11,12,8,,75+2,75+2,75+2,82,81,81,81,82,81+1,81+1,81+1,81+1,75+2,75+2,75+2,81+1,70+2,63+2,63+2,63+2,70+2,66+2,54+2,54+2,54+2,66+2,18+2,https://cdn.sofifa.net/players/216/547/22_120.png,https://cdn.sofifa.net/teams/234/60.png,https://cdn.sofifa.net/flags/pt.png,https://cdn.sofifa.net/teams/1354/60.png,https://cdn.sofifa.net/flags/pt.png
219693,https://sofifa.com/player/219693/diego-carlos-santos-silva/220002,Diego Carlos,Diego Carlos Santos Silva,CB,82,84,30500000,37000,28,1993-03-15,185,86,481,Sevilla FC,Spain Primera Division,1,LCB,20,,2019-07-01,2024,54,Brazil,,,,Right,4,3,2,Medium/High,Stocky (185+),No,66300000,#Strength,Long Passer (AI),76,47,63,68,81,83,35,32,79,76,34,65,47,71,74,71,77,75,68,84,53,73,82,73,87,57,85,82,52,63,41,75,83,79,81,7,10,14,7,11,,63+2,63+2,63+2,62,65,65,65,62,66+2,66+2,66+2,64+2,70+2,70+2,70+2,64+2,73+2,78+2,78+2,78+2,73+2,75+2,81+2,81+2,81+2,75+2,17+2,https://cdn.sofifa.net/players/219/693/22_120.png,https://cdn.sofifa.net/teams/481/60.png,https://cdn.sofifa.net/flags/es.png,,https://cdn.sofifa.net/flags/br.png
220018,https://sofifa.com/player/220018/ante-rebic/220002,A. Rebi?,Ante Rebi?,"LM, ST",82,82,32500000,54000,27,1993-09-21,185,78,47,AC Milan,Italian Serie A,1,LM,12,,2020-09-12,2025,10,Croatia,,,,Right,4,4,1,High/Medium,Normal (185+),Yes,55300000,,Technical Dribbler (AI),86,83,75,81,48,80,76,85,74,79,82,84,76,66,67,82,83,88,74,85,71,85,66,81,80,80,84,39,79,74,65,75,48,50,31,13,15,12,13,14,,82,82,82,81,82,82,82,81,80+2,80+2,80+2,81+1,75+2,75+2,75+2,81+1,66+2,64+2,64+2,64+2,66+2,63+2,60+2,60+2,60+2,63+2,22+2,https://cdn.sofifa.net/players/220/018/22_120.png,https://cdn.sofifa.net/teams/47/60.png,https://cdn.sofifa.net/flags/it.png,,https://cdn.sofifa.net/flags/hr.png
220440,https://sofifa.com/player/220440/clement-lenglet/220002,C. Lenglet,Cl?ment Nicolas Laurent Lenglet,CB,82,86,37500000,145000,26,1995-06-17,186,81,241,FC Barcelona,Spain Primera Division,1,SUB,15,,2018-07-12,2026,18,France,1335,SUB,21,Left,4,2,2,Medium/High,Unique,Yes,79700000,,Power Header,72,45,67,66,83,79,55,39,81,78,37,57,59,31,74,76,73,71,61,81,58,58,84,75,80,46,79,85,54,66,49,82,84,82,80,10,10,9,12,7,,63+2,63+2,63+2,63,64,64,64,63,66+2,66+2,66+2,66+2,71+2,71+2,71+2,66+2,75+2,79+2,79+2,79+2,75+2,77+2,81+2,81+2,81+2,77+2,18+2,https://cdn.sofifa.net/players/220/440/22_120.png,https://cdn.sofifa.net/teams/241/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/teams/1335/60.png,https://cdn.sofifa.net/flags/fr.png
220697,https://sofifa.com/player/220697/james-maddison/220002,J. Maddison,James Maddison,"CAM, CM",82,85,41500000,100000,24,1996-11-23,175,73,95,Leicester City,English Premier League,1,CAM,10,,2018-06-20,2024,14,England,,,,Right,4,4,1,High/Medium,Lean (170-185),Yes,82000000,,"Flair, Long Shot Taker (AI), Playmaker (AI), Outside Foot Shot",75,78,84,84,54,60,81,75,35,84,70,84,85,84,82,86,78,72,86,76,83,83,54,74,51,80,68,44,80,87,74,84,59,65,42,11,14,14,12,14,,74+2,74+2,74+2,81,80,80,80,81,82+2,82+2,82+2,81+2,80+2,80+2,80+2,81+2,69+2,69+2,69+2,69+2,69+2,65+2,57+2,57+2,57+2,65+2,20+2,https://cdn.sofifa.net/players/220/697/22_120.png,https://cdn.sofifa.net/teams/95/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/gb-eng.png
222077,https://sofifa.com/player/222077/manuel-locatelli/220002,M. Locatelli,Manuel Locatelli,"CDM, CM",82,87,42000000,74000,23,1998-01-08,185,75,45,Juventus,Italian Serie A,1,RDM,27,,2021-08-19,2023,27,Italy,1343,SUB,5,Right,4,3,2,Medium/High,Lean (185+),No,72500000,,"Long Shot Taker (AI), Playmaker (AI)",61,72,79,77,79,79,70,69,68,85,64,78,68,64,83,80,62,60,69,83,60,77,65,89,78,80,72,79,73,82,60,77,80,82,74,11,12,11,10,15,,74+2,74+2,74+2,75,76,76,76,75,78+2,78+2,78+2,77+2,82+2,82+2,82+2,77+2,78+2,81+2,81+2,81+2,78+2,77+2,77+2,77+2,77+2,77+2,20+2,https://cdn.sofifa.net/players/222/077/22_120.png,https://cdn.sofifa.net/teams/45/60.png,https://cdn.sofifa.net/flags/it.png,https://cdn.sofifa.net/teams/1343/60.png,https://cdn.sofifa.net/flags/it.png
222665,https://sofifa.com/player/222665/martin-odegaard/220002,M.   degaard,Martin   degaard,"CAM, CM",82,88,49000000,89000,22,1998-12-17,178,68,1,Arsenal,English Premier League,1,CAM,8,,2021-08-20,2026,36,Norway,1352,RM,10,Left,2,5,3,High/Medium,Lean (170-185),Yes,102900000,,"Solid Player, Flair, Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",77,74,83,84,58,62,84,73,52,83,73,85,81,83,81,85,80,75,85,74,83,76,46,78,56,77,63,65,76,86,63,76,65,49,51,14,15,15,8,10,,74+3,74+3,74+3,81,79,79,79,81,81+3,81+3,81+3,81+3,79+3,79+3,79+3,81+3,72+3,70+3,70+3,70+3,72+3,68+3,60+3,60+3,60+3,68+3,19+3,https://cdn.sofifa.net/players/222/665/22_120.png,https://cdn.sofifa.net/teams/1/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1352/60.png,https://cdn.sofifa.net/flags/no.png
224293,https://sofifa.com/player/224293/ruben-diogo-da-silva-neves/220002,R?ben Neves,R?ben Diogo da Silva Neves,CM,82,87,46000000,89000,24,1997-03-13,180,80,110,Wolverhampton Wanderers,English Premier League,1,RCM,8,,2017-07-08,2024,38,Portugal,1354,SUB,18,Right,4,3,2,Low/High,Normal (170-185),Yes,90900000,#Playmaker?,"Long Passer (AI), Long Shot Taker (AI), Playmaker (AI)",59,75,85,77,74,73,78,66,53,88,82,76,85,84,85,82,64,54,68,80,73,86,67,79,67,84,83,78,65,86,76,84,76,77,70,16,12,10,8,10,,71+2,71+2,71+2,75,75,75,75,75,78+2,78+2,78+2,76+2,81+2,81+2,81+2,76+2,76+2,80+2,80+2,80+2,76+2,74+2,73+2,73+2,73+2,74+2,19+2,https://cdn.sofifa.net/players/224/293/22_120.png,https://cdn.sofifa.net/teams/110/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1354/60.png,https://cdn.sofifa.net/flags/pt.png
224458,https://sofifa.com/player/224458/diogo-jose-teixeira-da-silva/220002,Diogo Jota,Diogo Jos? Teixeira da Silva,"LW, ST",82,87,46000000,120000,24,1996-12-04,178,73,9,Liverpool,English Premier League,1,SUB,20,,2020-09-19,2025,38,Portugal,1354,LW,21,Right,5,4,2,High/High,Normal (170-185),Yes,88600000,#Acrobat,Speed Dribbler (AI),84,81,73,85,57,77,71,84,77,75,78,85,77,58,71,85,88,81,87,84,86,84,76,81,71,75,85,56,85,75,63,83,54,57,45,7,12,15,9,11,,82+2,82+2,82+2,82,82,82,82,82,81+2,81+2,81+2,81+2,77+2,77+2,77+2,81+2,69+2,69+2,69+2,69+2,69+2,68+2,65+2,65+2,65+2,68+2,18+2,https://cdn.sofifa.net/players/224/458/22_120.png,https://cdn.sofifa.net/teams/9/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1354/60.png,https://cdn.sofifa.net/flags/pt.png
225100,https://sofifa.com/player/225100/joe-gomez/220002,J. Gomez,Joe Gomez,CB,82,88,43500000,100000,24,1997-05-23,188,77,9,Liverpool,English Premier League,1,SUB,12,,2015-06-20,2024,14,England,,,,Right,3,3,2,Medium/Medium,Unique,Yes,89200000,,"Long Throw-in, Injury Prone",81,30,66,69,83,78,69,26,74,78,24,67,41,29,65,73,75,85,63,82,65,41,76,67,83,26,81,84,51,60,26,74,83,84,82,8,13,14,7,7,,58+2,58+2,58+2,64,62,62,62,64,64+2,64+2,64+2,68+2,68+2,68+2,68+2,68+2,78+2,78+2,78+2,78+2,78+2,79+2,81+2,81+2,81+2,79+2,17+2,https://cdn.sofifa.net/players/225/100/22_120.png,https://cdn.sofifa.net/teams/9/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/gb-eng.png
226271,https://sofifa.com/player/226271/fabian-ruiz-pena/220002,Fabi?n,Fabi?n Ruiz Pe?a,CM,82,86,42000000,77000,25,1996-04-03,189,70,48,Napoli,Italian Serie A,1,RCM,8,,2018-07-05,2023,45,Spain,1362,SUB,17,Left,3,4,2,Medium/Medium,Normal (185+),Yes,74600000,,"Finesse Shot, Long Shot Taker (AI), Outside Foot Shot",63,78,79,82,74,71,72,79,67,83,67,83,75,59,80,86,67,60,71,82,67,77,46,87,67,83,68,76,81,82,67,77,70,78,75,16,11,7,13,13,,77+2,77+2,77+2,79,80,80,80,79,81+2,81+2,81+2,79+2,82+2,82+2,82+2,79+2,77+2,79+2,79+2,79+2,77+2,76+2,73+2,73+2,73+2,76+2,21+2,https://cdn.sofifa.net/players/226/271/22_120.png,https://cdn.sofifa.net/teams/48/60.png,https://cdn.sofifa.net/flags/it.png,https://cdn.sofifa.net/teams/1362/60.png,https://cdn.sofifa.net/flags/es.png
227796,https://sofifa.com/player/227796/christian-pulisic/220002,C. Pulisic,Christian Mate Pulisic,"LW, RW, LM",82,88,49000000,120000,22,1998-09-18,177,69,5,Chelsea,English Premier League,1,LW,10,,2019-01-02,2024,95,United States,1387,LW,10,Right,4,4,3,Medium/Medium,Lean (170-185),Yes,100500000,#Dribbler,"Injury Prone, Speed Dribbler (AI)",89,70,73,86,37,59,74,73,50,77,70,88,69,58,59,85,91,87,87,78,88,77,79,76,54,57,45,33,79,80,61,80,38,32,47,8,12,13,16,14,,75+3,75+3,75+3,81,80,80,80,81,79+3,79+3,79+3,80+3,72+3,72+3,72+3,80+3,64+3,57+3,57+3,57+3,64+3,60+3,49+3,49+3,49+3,60+3,20+3,https://cdn.sofifa.net/players/227/796/22_120.png,https://cdn.sofifa.net/teams/5/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1387/60.png,https://cdn.sofifa.net/flags/us.png
229391,https://sofifa.com/player/229391/joao-maria-palhinha-goncalves/220002,Palhinha,Jo?o Maria Lobo Alves Palhinha Gon?alves,"CDM, CM",82,87,41000000,18000,25,1995-07-09,190,82,237,Sporting CP,Portuguese Liga ZON SAGRES,1,LCM,6,,2015-07-01,2025,38,Portugal,1354,CDM,6,Right,4,2,1,Medium/High,Normal (185+),No,85100000,#Tackling?,"Dives Into Tackles (AI), Long Passer (AI), Playmaker (AI)",60,65,70,72,85,88,59,62,79,76,54,74,61,45,78,76,57,62,60,77,44,76,81,87,88,67,89,83,67,71,56,82,85,87,86,14,10,8,7,7,,71+2,71+2,71+2,69,71,71,71,69,71+2,71+2,71+2,71+2,76+2,76+2,76+2,71+2,77+2,81+2,81+2,81+2,77+2,78+2,83+2,83+2,83+2,78+2,17+2,https://cdn.sofifa.net/players/229/391/22_120.png,https://cdn.sofifa.net/teams/237/60.png,https://cdn.sofifa.net/flags/pt.png,https://cdn.sofifa.net/teams/1354/60.png,https://cdn.sofifa.net/flags/pt.png
229558,https://sofifa.com/player/229558/dayot-upamecano/220002,D. Upamecano,Dayotchanculle Oswald Upamecano,CB,82,90,64000000,70000,22,1998-10-27,186,90,21,FC Bayern M?nchen,German 1. Bundesliga,1,RCB,2,,2021-07-05,2026,18,France,,,,Right,3,2,2,High/Medium,Stocky (185+),Yes,118400000,#Strength,,81,43,62,68,81,81,48,39,82,76,27,69,32,28,72,69,70,90,60,77,66,60,87,65,88,40,83,77,47,58,39,71,78,84,90,6,7,8,15,9,,62+2,62+2,62+2,63,63,63,63,63,64+2,64+2,64+2,65+2,68+2,68+2,68+2,65+2,74+2,76+2,76+2,76+2,74+2,76+2,82+2,82+2,82+2,76+2,17+2,https://cdn.sofifa.net/players/229/558/22_120.png,https://cdn.sofifa.net/teams/21/60.png,https://cdn.sofifa.net/flags/de.png,,https://cdn.sofifa.net/flags/fr.png
229668,https://sofifa.com/player/229668/mario-hermoso-canseco/220002,Mario Hermoso,Mario Hermoso Canseco,"CB, LB",82,85,35500000,62000,26,1995-06-18,185,76,240,Atl?tico de Madrid,Spain Primera Division,1,LCB,22,,2019-07-18,2024,45,Spain,,,,Left,3,2,1,Medium/High,Normal (185+),Yes,75400000,,Dives Into Tackles (AI),75,49,72,71,83,80,71,42,79,78,41,66,68,55,77,75,73,77,74,82,63,65,82,77,81,46,83,83,64,66,45,79,83,84,81,13,8,10,5,8,,66+2,66+2,66+2,68,67,67,67,68,69+2,69+2,69+2,71+2,73+2,73+2,73+2,71+2,78+2,80+2,80+2,80+2,78+2,79+2,82+2,82+2,82+2,79+2,17+2,https://cdn.sofifa.net/players/229/668/22_120.png,https://cdn.sofifa.net/teams/240/60.png,https://cdn.sofifa.net/flags/es.png,,https://cdn.sofifa.net/flags/es.png
229906,https://sofifa.com/player/229906/leon-bailey/220002,L. Bailey,Leon Bailey Butler,"RM, RW, LW",82,85,41500000,75000,23,1997-08-09,178,77,2,Aston Villa,English Premier League,1,SUB,31,,2021-08-04,2025,82,Jamaica,,,,Left,4,4,3,High/Medium,Normal (170-185),Yes,82000000,"#Speedster, #Dribbler, #Acrobat","Flair, Speed Dribbler (AI), Outside Foot Shot, Technical Dribbler (AI)",93,78,74,84,33,64,74,79,57,73,74,86,79,79,66,82,93,93,86,80,84,79,77,75,61,78,55,21,81,80,71,75,45,25,18,12,13,6,15,14,,78+3,78+3,78+3,82,81,81,81,82,80+3,80+3,80+3,81+3,72+3,72+3,72+3,81+3,59+3,54+3,54+3,54+3,59+3,55+3,46+3,46+3,46+3,55+3,20+3,https://cdn.sofifa.net/players/229/906/22_120.png,https://cdn.sofifa.net/teams/2/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/jm.png
